#;NAME;;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;F0;;;F1;;;F2;;;F3;;;PEPOCH;;DM;;;DM1;;;S400;;;S1400;;;BINARY;;T0;;;PB;;;A1;;;OM;;;ECC;;;TASC;;;EPS1;;;EPS2;;;DIST;ASSOC;SURVEY;PSR;
;;;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(Hz);;;(s^-2);;;(s^-3);;;(s^-4);;;(MJD);;(cm^-3pc);;;(cm^-3pc/yr);;;(mJy);;;(mJy);;;(type);;(MJD);;;(days);;;(ltsec);;;(deg);;;;;;(MJD);;;;;;;;;(kpc);;;TYPE;
1;J0002+6216;cwp+17;J0002+6216;cwp+17;00:02:58.17;2.0e-02;cwp+17;+62:16:09.4;1.0e-01;cwp+17;32.5;6.0e-01;bst+23;-13.7;6.0e-01;bst+23;0.6;5.0e-01;bst+23;55806;cwp+17;117.327;-0.074;8.66824782740;1.0e-10;cwp+17;-4.48354E-13;5.0e-18;cwp+17;*;0;*;*;0;*;55806;cwp+17;218.6;6.0e-01;wcp+18;*;0;*;*;0;*;0.022;0;wu18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.357;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_J000257.6+621609[wcp+18];FermiBlind;HE[wcp+18];
2;J0006+1834;cnt96;J0006+1834;cnt96;00:06:04.8;2.0e-01;cn95;+18:34:59;4.0e+00;cn95;*;0;*;*;0;*;*;0;*;49079.50;*;108.172;-42.985;1.4414462816;3.0e-10;cn95;-4.36E-15;3.0e-17;cn95;*;0;*;*;0;*;49079.5;cn95;11.4;6.0e-01;bkk+16;*;0;*;0.2;0;cn95;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.860;*;ar4,ar327,fast_gpps;*;
3;J0007+7303;aaa+09c;J0007+7303;aaa+09c;00:07:01.7;2.0e-01;awd+12;+73:03:07.4;8.0e-01;awd+12;*;0;*;*;0;*;*;0;*;54952.00;*;119.660;10.463;3.165827392;3.0e-09;awd+12;-3.6120E-12;5.0e-16;awd+12;4.1E-23;7.0e-24;awd+12;5.4E-30;9.0e-31;awd+12;54952;awd+12;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.400;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J0007.0+7303[cdm+10],SNR:CTA1[hgc+04];FermiBlind;NRAD[aab+22];
4;J0011+08;dsm+16;J0011+08;dsm+16;00:11:34;3.1e+01;dsm+16;+08:10;8.0e+00;dsm+16;*;0;*;*;0;*;*;0;*;57022.00;*;106.228;-53.407;0.391716;0;dsm+16;*;0;*;*;0;*;*;0;*;57022;dsm+16;24.9;0;dsm+16;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;5.399;*;ar327,fast_gpps;*;
5;J0012+5431;dcm+23;J0012+5431;dcm+23;00:12:23.3;1.0e-01;dcm+23;+54:31:40;9.0e+00;dcm+23;*;0;*;*;0;*;*;0;*;59128;dcm+23;117.231;-7.911;0.33054565343;2.0e-11;dcm+23;-0.14e-16;0;dcm+23;*;0;*;*;0;*;59128;dcm+23;131.3;7.0e-01;dcm+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;5.427;*;chime;RRAT[dcm+23];
6;B0011+47;dth78;J0014+4746;dth78;00:14:17.75;4.0e-02;hlk+04;+47:46:33.4;3.0e-01;hlk+04;19.3;1.8e+00;bfg+03;-19.7;1.5e+00;bfg+03;*;0;*;49664.0;hlk+04;116.497;-14.631;0.805997239145;7.0e-12;hlk+04;-3.6669E-16;9.0e-20;hlk+04;7.3E-28;1.4e-27;hlk+04;*;0;*;49664.0;hlk+04;30.405;1.3e-02;bkk+16;*;0;*;14;2.0e+00;lylg95;3.0;1.0e+00;lylg95;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.776;*;gb1,gb2,gb3,lotaas;*;
7;J0021-0909;clh+20;J0021-0909;clh+20;00:21:51.47;3.0e-02;clh+20;-09:09:58.7;1.1e+00;clh+20;*;0;*;*;0;*;*;0;*;58388.00;*;100.291;-70.726;0.43212768588;3.0e-11;clh+20;-1.94E-16;3.0e-18;clh+20;*;0;*;*;0;*;58388.0;clh+20;25.2;1.0e+00;clh+20;*;0;*;*;0;*;0.134;1.1e-02;clh+20;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;fast_crafts;*;
8;J0023+0923;hrm+11;J0023+0923;hrm+11;00:23:16.877498;7.0e-06;aab+21a;+09:23:23.8604;2.3e-04;aab+21a;-11.00;7.0e-02;bbc+24;-8.80;1.0e-01;bbc+24;0.55;1.3e-01;aab+21a;56845.0;aab+21a;111.383;-52.849;327.8470205611185;4.0e-13;aab+21a;-1.227834E-15;1.5e-20;aab+21a;*;0;*;*;0;*;56845.0;aab+21a;14.326553;4.0e-06;bbc+24;*;0;*;2.9;1.0e+00;aab+21a;0.5;1.2e-01;bbc+24;ELL1;aab+21a;*;0;*;0.138799143080;1.0e-11;bbc+24;0.03484136;5.0e-08;aab+21a;115;0.0e+00;aab+21a;7.1E-6;0.0e+00;aab+21a;56845.04077841;6.0e-08;aab+21a;6.4E-6;2.0e-06;aab+21a;-3.0E-6;2.3e-06;aab+21a;1.818;GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+13],GRS:3FGL_J0023.4+0923[bbc+24];FermiAssoc,gbt350,fast_gpps;HE,HE[bbc+24];
9;B0021-72C;mld+90;J0024-7204C;mld+90;00:23:50.3546;1.0e-04;frk+17;-72:04:31.5048;4.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.923;-44.892;173.708218965958;4.0e-12;frk+17;1.50421E-15;6.0e-20;frk+17;1.3E-27;4.0e-28;frk+17;*;0;*;51600;frk+17;24.5909;3.0e-04;apr+23;*;0;*;1.53;0;rlm+95;0.520;1.0e-02;zhm+19;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
10;B0021-72D;mlr+91;J0024-7204D;mlr+91;00:24:13.88092;6.0e-05;frk+17;-72:04:43.8524;2.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.881;-44.893;186.651669856731;3.0e-12;frk+17;1.1922E-16;3.0e-20;frk+17;-1.2E-27;2.0e-28;frk+17;*;0;*;51600;frk+17;24.7412;3.0e-04;apr+23;*;0;*;0.95;0;rlm+95;0.350;1.0e-02;zhm+19;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
